Step	Training Loss
279	1.063600
280	1.130100
281	0.988400
282	0.910400
283	1.193600
284	1.143600
285	1.015400
286	0.874800
287	1.029700
288	1.060500
289	0.965400
290	1.001700
291	0.887700
292	1.154800
293	1.160000
294	1.211400
295	1.165400
296	0.922400
297	1.000900
298	0.741000
299	1.219500
300	1.095300
301	0.843300
302	0.918200
303	0.780000
304	1.058300
305	0.974900
306	1.065600
307	1.005200
308	0.920200
309	0.882700
310	0.885000
311	0.988600
312	0.984700
313	1.116700
314	0.968000
315	0.945900
316	1.030700
317	0.907100
318	0.807800
319	0.928300
320	0.914400
321	0.807700
322	0.898500
323	0.912500
324	1.085000
325	1.013200
326	1.028100
327	0.911400
328	1.157200
329	0.897700
330	1.079500
331	1.044700
332	0.979400
333	0.976000
334	0.929900
335	0.993600
336	0.891100
337	0.935900
338	1.149000
339	1.080500
340	1.128200
341	1.158400
342	1.027200
343	1.071400
344	0.956800
345	1.052100
346	0.942900
347	1.157700
348	1.006700
349	1.247800
350	0.965300
351	0.867800
352	0.906900
353	0.860200
354	0.845200
355	0.896800
356	0.936000
357	0.936500
358	0.873400
359	1.062300
360	1.089500
361	0.931100
362	0.827700
363	0.878800
364	1.168100
365	0.973600
366	1.153600
367	0.948700
368	1.063200
369	0.886300
370	0.978700
371	0.863900
372	0.955200
373	1.074500
374	1.027500
375	0.945200
376	1.005800
377	0.875400
378	1.172500
379	1.140100
380	1.042500
381	1.078200
382	0.974100
383	1.028100
384	1.013200
385	1.056100
386	1.082200
387	0.942700
388	1.047600
389	0.880300
390	1.096900
391	1.103000
392	1.157400
393	0.913900
394	1.066700
395	1.106600
396	0.989500
397	1.114600
398	1.119400
399	1.150400
400	1.152600
401	0.939400
402	0.958000
403	0.842500
404	0.948900
405	1.022000
406	0.983900
407	0.965500
408	0.838000
409	0.872200
410	1.127100
411	1.012000
412	0.920100
413	0.833500
414	0.954300
415	0.919900
416	0.920700
417	1.001800
418	0.945700
419	1.089600
420	0.957400
421	1.061500
422	0.980900
423	1.133400
424	0.938600
425	0.930900
426	0.921900
427	1.027000
428	1.057800
429	1.099200
430	1.022600
431	0.987400
432	0.979700
433	1.169300
434	0.915600
435	1.009200
436	1.140600
437	0.967100
438	1.095400
439	0.975300
440	1.072300
441	0.984200
442	1.118100
443	1.085800
444	1.061500
445	0.985200
446	0.925600
447	0.991900
448	1.027900
449	1.102600
450	0.955600
451	0.870900
452	0.906400
453	0.865100
454	0.890700
455	1.064700
456	0.826600
457	0.944500
458	0.864900
459	0.874600
460	0.874600
461	0.977400
462	0.929000
463	0.943400
464	0.811500
465	0.999500
466	1.084000
467	1.064500
468	1.091700
469	0.829100
470	0.967300
471	0.921100
472	0.902500
473	0.977500
474	0.948400
475	0.971400
476	1.039700
477	1.085700
478	0.952700
479	1.122500
480	1.032300
481	0.941000
482	1.232500
483	0.829100
484	1.219900
485	1.092500
486	0.980700
487	1.003300
488	1.148200
489	0.911700
490	1.079500
491	0.935500
492	1.020700
493	0.979400
494	0.979200
495	0.996500
496	1.146700
497	1.027500
498	1.043600
499	1.085600
500	1.184900
501	0.701900
502	0.871400
503	0.924500
504	0.813300
505	0.950500
506	0.945900
507	0.906700
508	1.061200
509	0.884500
510	0.997500
511	0.834200
512	0.958900
513	1.081700
514	0.938900
515	1.112300
516	1.038000
517	1.029000
518	1.039700
519	0.894800
520	1.070700
521	1.141500
522	1.036200
523	0.925200
524	0.940800
525	1.031500
526	0.863100
527	1.088800
528	0.971600
529	0.981500
530	1.119200
531	1.007200
532	0.977300
533	1.010200
534	1.042300
535	0.954200
536	1.164900
537	1.163500
538	1.017200
539	0.925900
540	0.874000
541	0.988100
542	1.114100
543	0.834700
544	0.954100
545	1.021800
546	1.101600
547	1.261900
548	1.064300
549	1.169600
550	1.279200
551	0.844200
552	0.936700
553	0.881100
554	0.931700
555	0.988700
556	1.153300
557	0.864400
558	1.062500
559	0.910100
560	0.898100
561	0.907100
562	0.992400
563	1.212700
564	0.881100
565	0.935200
566	1.033100
567	1.052700
568	1.027000
569	1.021800
570	0.960100
571	0.953500
572	0.898000
573	0.909500
574	1.010100
575	0.959500
576	0.787200
577	1.068700
578	1.075200
579	1.074400
580	1.118300
581	1.001000
582	1.098700
583	1.104400
584	1.110000
585	0.983000
586	1.035900
587	0.946400
588	1.013800
589	0.922900
590	0.989300
591	1.087900
592	0.965000
593	0.880600
594	0.922500
595	1.048000
596	1.105300
597	1.116800
598	1.248300
599	0.804300
600	1.091500
601	0.899400
602	0.862000
603	0.977100
604	0.966600
605	0.892300
606	1.063500
607	1.071900
608	0.979600
609	1.154300
610	0.909800
611	0.910000
612	0.847400
613	0.951000
614	1.063100
615	1.113300
616	0.908300
617	0.920500
618	1.071500
619	1.060800
620	1.053400
621	1.131700
622	1.071000
623	0.998400
624	0.988800
625	0.915000
626	0.935900
627	0.808500
628	0.966600
629	0.968800
630	1.068100
631	1.146500
632	1.070100
633	1.149200
634	1.022800
635	1.003300
636	1.054700
637	0.929000
638	1.164400
639	1.017500
640	0.996800
641	1.012000
642	1.073000
643	0.978100
644	1.018000
645	1.141300
646	1.106900
647	0.931300
648	1.028100
649	1.064600
650	1.084400
651	0.938300
652	0.829800
653	0.937200
654	0.986300
655	1.057600
656	0.886100
657	0.825100
658	0.915700
659	0.778200
660	1.012200
661	0.985700
662	0.938600
663	0.852800
664	0.929600
665	1.010900
666	1.027300
667	0.874000
668	0.774100
669	0.919900
670	0.951800
671	0.968800
672	0.953600
673	1.066100
674	1.094300
675	1.000800
676	0.969900
677	0.963400
678	1.080200
679	1.057600
680	0.955600
681	1.025800
682	1.107900
683	0.997300
684	1.047000
685	0.991100
686	0.980400
687	1.052200
688	0.978900
689	1.028400
690	1.097700
691	1.072100
692	1.151500
693	1.173800
694	1.100500
695	1.007400
696	1.183700
697	0.877800
698	0.913700
699	0.727300
700	1.378900
701	0.925200
702	0.922000
703	1.002300
704	0.950700
705	0.781300
706	0.790400
707	0.927500
708	1.065000
709	0.806200
710	0.946100
711	1.000800
712	0.852600
713	0.954700
714	0.966400
715	0.949600
716	0.986000
717	0.941800
718	1.036900
719	0.981400
720	1.007500
721	0.985300
722	1.016600
723	0.892500
724	0.983600
725	1.030000
726	0.926500
727	1.101400
728	0.892500
729	0.936700
730	1.078400
731	0.866300
732	1.055800
733	0.822500
734	0.892600
735	1.167800
736	0.892900
737	1.107300
738	0.871800
739	0.976000
740	1.134200
741	0.859200
742	1.115800
743	1.184300
744	0.939700
745	0.977000
746	1.056300
747	1.265300
748	1.182300
749	1.083000
750	1.280200
751	0.828500
752	0.783900
753	0.857300
754	0.986900
755	0.857300
756	0.980400
757	0.887200
758	0.831600
759	0.865800
760	0.891800
761	0.908900
762	1.059100
763	1.115100
764	0.777100
765	1.043700
766	0.936000
767	0.875700
768	1.044400
769	0.960800
770	1.088700
771	0.967100
772	0.924300
773	0.929500
774	0.975200
775	0.947400
776	0.898400
777	1.162400
778	0.941800
779	1.070600
780	0.932500
781	1.100900
782	1.110700
783	1.056300
784	1.045300
785	1.122500
786	1.145700
787	1.049900
788	1.031900
789	0.960100
790	0.974400
791	0.800100
792	0.921200
793	1.256600
794	0.881400
795	1.156500
796	1.066000
797	1.199600
798	1.264300
799	0.926400
800	1.027000
801	0.932900
802	0.829200
803	0.964500
804	0.928000
805	1.101500
806	0.870600
807	0.978100
808	0.753000
809	0.796900
810	0.900800
811	1.005500
812	0.968600
813	0.972900
814	1.082900
815	1.041700
816	0.976200
817	1.180100
818	0.993400
819	0.905500
820	0.900600
821	0.987000
822	0.923900
823	1.047600
824	0.901500
825	0.789900
826	1.192500
827	0.986100
828	1.112200
829	0.880300
830	0.983700
831	1.022700
832	0.934500
833	0.997700
834	1.145400
835	1.031800
836	0.986700
837	0.980300
838	1.131700
839	1.163900
840	1.082400
841	1.109700
842	1.166200
843	1.043100
844	1.057300
845	0.973700
846	0.970600
847	1.227300
848	1.002500
849	1.230200
850	1.091100
851	0.881300
852	0.963000
853	1.048900
854	0.918100
855	1.076000
856	0.992900
857	0.893000
858	0.914200
859	0.991000
860	1.067600
861	0.995200
862	1.057200
863	1.121800
864	1.048600
865	1.032900
866	1.033100
867	1.032600
868	1.067000
869	0.917100
870	0.914300
871	0.854300
872	0.930200
873	0.994600
874	1.046800
875	1.055600
876	0.973800
877	1.028000
878	1.031200
879	0.972200
880	0.945100
881	1.110100
882	0.908100
883	0.849700
884	1.011900
885	1.085900
886	0.934200
887	1.095900
888	1.047500
889	0.932300
890	1.131900
891	1.159400
892	1.048900
893	0.968000
894	0.913000
895	0.869800
896	1.050000
897	0.831900
898	0.890900
899	1.158200
900	0.978200
901	0.859700
902	0.882100
903	0.997100
904	0.928100
905	0.901500
906	0.871000
907	1.095700
908	0.787600
909	1.011000
910	1.074900
911	0.883600
912	0.981300
913	0.947000
914	0.995000
915	0.995900
916	0.927000
917	1.021500
918	0.956900
919	1.033100
920	1.063500
921	0.916500
922	1.096500
923	0.929300
924	1.001700
925	0.982200
926	1.032400
927	1.055700
928	1.059700
929	0.981500
930	1.001400
931	1.028000
932	0.973600
933	0.946900
934	0.953200
935	1.050500
936	1.129000
937	1.001900
938	1.156300
939	1.175100
940	1.169100
941	1.023500
942	1.166600
943	1.052400
944	0.850800
945	0.944900
946	1.148300
947	0.954600
948	0.997400
949	1.098200
950	1.132400
951	0.800500
952	0.942700
953	1.058800
954	1.087800
955	1.029600
956	0.791100
957	0.910100
958	0.911000
959	0.966900
960	1.002500
961	1.007700
962	0.997800
963	1.008100
964	0.940500
965	1.024400
966	0.930900
967	1.033400
968	1.034400
969	1.222600
970	1.109900
971	0.981000
972	0.926000
973	0.967200
974	0.856900
975	1.124500
976	0.977900
977	0.992800
978	1.025000
979	1.032700
980	1.121000
981	1.152600
982	1.038100
983	0.987900
